Symbol,Company,Country,Sector,Industry,Has Quote,Has Options,Price,Avg Volume,52w High,52w Low,Num Expirations
NOK,Nokia,Finland,Technology,Telecom Equipment,True,True,8.10,36922064,8.37,4.00,18
SAP,SAP SE,Germany,Technology,Enterprise Software,True,True,190.66,2679623,313.28,187.94,14
SE,Sea Limited,Singapore,Technology,E-commerce/Gaming,True,True,85.03,6011289,199.30,77.05,17
SHOP,Shopify,Canada,Technology,E-commerce Platform,True,True,126.00,8011504,182.19,69.84,22
TSM,TSMC,Taiwan,Technology,Semiconductors,True,True,338.05,13191623,390.20,134.25,22
WIT,Wipro,India,Technology,IT Services,True,True,2.29,10939523,3.18,2.11,4
WIX,Wix.com,Israel,Technology,Web Platform,True,True,87.35,687522,191.24,60.22,6
VEDL,Vedanta Limited,India,Basic Materials,Diversified Mining,False,False,,,,,0
TEF,Telefonica,Spain,Communication Services,Telecom,False,False,,,,,0
CSAN,Cosan,Brazil,Energy,Energy/Logistics,True,False,4.29,2255169,6.25,3.71,0
BGNE,BeiGene,China,Healthcare,Oncology Biotech,False,False,,,,,0
