Symbol,Company Name,Has Alerts,Alert Count,Price,Sector,Industry,Market Cap,Market Cap Category,Tradier Avg Vol,Actual Avg Stock Vol (30d),Avg Daily Opt Vol (30d),Peak Daily Opt Vol (30d),Avg Total OI (30d),Liquidity Tier,Beta,Keep
TTEK,Tetra Tech Inc,No,0,34.87,Industrials,Engineering & Construction,9163473655,Mid,260041,3410534,272,1461,6872,moderate,1.2693,
TTWO,Take-Two Interactive Software Inc,Yes,1,211.5,Communication Services,Electronic Gaming & Multimedia,39355339663,Large,1551701,2934006,9818,32053,55048,high,1.2989,
TXG,10x Genomics Inc,No,0,20.81,Healthcare,Medical - Healthcare Information,2765836298,Mid,708039,2730265,304,1214,3129,moderate,1.526,
TXN,Texas Instruments Inc,Yes,1,193.23,Technology,Semiconductors,179676902236,Large,4605909,8802484,24281,311896,94535,high,0.8069,
TXT,Textron Inc,No,0,94.96,Industrials,Aerospace & Defense,16789258926,Large,1784749,1955314,506,2071,8581,high,0.566,
U,Unity Software Inc,Yes,22,19.85,Technology,Software - Application,8975833176,Mid,0,24188056,41288,120516,109853,N/A,3.013,
UA,"Under Armour, Inc. Class C Common Stock",No,0,6.41,Consumer Cyclical,Apparel - Manufacturers,2827537851,Mid,5781771,4439935,2561,33007,7385,high,2.6267,Keep
UAL,United Airlines Holdings Inc,Yes,8,92.07,Industrials,Airlines,30864964885,Large,3762771,6430168,18791,66682,105569,high,2.549,
UBER,Uber Technologies Inc,Yes,15,75.13,Technology,Software - Application,155264269757,Large,21134148,23178525,63508,164872,354962,ultra_liquid,0.4972,
UDR,UDR Inc,No,0,37.25,Real Estate,REIT - Residential,12377305921,Large,1555812,4580422,26,157,1356,high,0.2733,
UEC,Uranium Energy Corp,Yes,4,12.93,Energy,Uranium,6622270407,Mid,843725,10285624,11672,28229,91448,moderate,2.8856,
UGI,UGI Corp,No,0,36.75,Utilities,Utilities - Regulated Gas,7887885384,Mid,1575633,2366940,147,1320,4670,high,0.4196,
ULTA,Ulta Beauty Inc,No,0,646.34,Consumer Cyclical,Specialty Retail,28996890106,Large,1144822,509414,2561,5387,12870,high,0.4961,Keep
UNH,UnitedHealth Group Inc,Yes,6,286.48,Healthcare,Healthcare Plans,261579018297,Mega,3765082,11463302,90025,400345,275271,high,0.3213,
UNM,Unum Group,No,0,73.52,Financial Services,Insurance - Life,12165271139,Large,2045692,1634855,455,2327,8210,high,0.548,
UPS,United Parcel Service Inc,Yes,3,102.36,Industrials,Integrated Freight & Logistics,88366015375,Large,3507767,7072753,52103,855975,128105,high,0.4316,
URA,Global X Uranium ETF,No,0,48.78,N/A,N/A,0,,5688579,6240369,11582,37604,98539,high,2.7402,Keep
URNM,Sprott Uranium Miners ETF,No,0,63.97,N/A,N/A,0,,958280,1230821,755,2496,10385,moderate,2.5265,Keep
USB,U.S. Bancorp,Yes,1,52.37,Financial Services,Banks - Regional,83759740524,Large,6442156,10733774,6756,21965,87410,high,1.052,
UUUU,Energy Fuels Inc Ordinary Shares (Canada),Yes,3,19.03,Energy,Uranium,4924064194,Mid,0,14344976,24222,78728,112657,N/A,2.2909,
UWMC,UWM Holdings Corp,Yes,1,3.86,Financial Services,Financial - Mortgages,1188302447,Small,17191654,19348216,8857,79140,62149,ultra_liquid,0.593,
VEEV,Veeva Systems Inc,Yes,1,195.49,Healthcare,Medical - Healthcare Information,32228706491,Large,2038331,2481226,890,5326,4753,high,1.3946,
VFC,VF Corp,Yes,5,17.32,Consumer Cyclical,Apparel - Manufacturers,7144468643,Mid,2521551,7258633,7136,33784,143625,high,1.9044,
VICI,VICI Properties Inc,No,0,29.67,Real Estate,REIT - Specialty,31730810407,Large,3786404,9806919,1077,7278,23095,high,-0.2289,
VIX,CBOE Volatility S&P 500 Index,Yes,279,29.49,N/A,N/A,0,,0,0,343531,676236,3433590,N/A,-10.3019,
VKTX,Viking Therapeutics Inc,Yes,0,32.98,Healthcare,Biotechnology,3641115835,Mid,1132190,2936618,6583,13390,27910,high,0.5568,
VLO,Valero Energy Corp,Yes,1,224.63,Energy,Oil & Gas Refining & Marketing,68186950314,Large,4061243,3232565,7379,38232,54414,high,0.551,
VLTO,Veralto Corp,No,0,94.33,Industrials,Industrial - Pollution & Treatment,23592209438,Large,1918128,2332279,229,3010,1533,high,0.7767,
VNOM,Viper Energy Inc,No,0,44.1,Energy,Oil & Gas Midstream,7713971215,Mid,541789,3725050,1165,8910,12194,moderate,0.4139,
VRT,Vertiv Holdings Co,Yes,29,241.78,Industrials,Electrical Equipment & Parts,95553966384,Large,4095571,6355481,27754,73195,124441,high,3.2133,
VRTX,Vertex Pharmaceuticals Inc,Yes,0,456.69,Healthcare,Biotechnology,117064035435,Large,1348051,1426367,3104,7172,17248,high,0.8834,
VST,Vistra Corp,Yes,11,158.65,Utilities,Utilities - Independent Power Producers,56719387026,Large,4780924,5448992,13979,27708,114887,high,2.0688,
VTR,Ventas Inc,No,0,84.87,Real Estate,REIT - Healthcare Facilities,40353045431,Large,2232107,2994727,596,4671,4632,high,-0.0661,
VTRS,Viatris Inc,No,0,14.16,Healthcare,Drug Manufacturers - Specialty,16735496121,Large,0,11000370,2252,8221,21046,N/A,0.9714,
VVV,Valvoline Inc,No,0,35.27,Consumer Cyclical,Auto - Dealerships,4591008685,Mid,1571520,2138604,47,512,287,high,0.593,
VZ,Verizon Communications Inc,Yes,7,51.12,Communication Services,Telecom Services,215861075718,Mega,13115244,35876756,83735,301900,539843,ultra_liquid,-0.7764,
W,Wayfair Inc,Yes,1,76.2,Consumer Cyclical,Internet Retail,10270244559,Large,2089915,4244422,6745,18222,41385,high,2.7801,
WAL,Western Alliance Bancorp,No,0,73.91,Financial Services,Banks - Regional,8871641521,Mid,809162,1569395,760,7202,6540,moderate,1.8142,
WBD,Warner Bros. Discovery Inc,Yes,16,27.95,Communication Services,Entertainment,69436845548,Large,0,25817148,73671,183627,968083,N/A,0.6338,
WBS,Webster Financial Corp,No,0,68.5,Financial Services,Banks - Regional,11138189097,Large,631067,5959229,95,1209,825,moderate,0.6472,
WDAY,Workday Inc,Yes,4,151.04,Technology,Software - Application,38708340000,Large,1931992,6287030,9864,47881,31735,high,0.8736,
WDC,Western Digital Corp,Yes,4,245.25,Technology,Computer Hardware,87820992935,Large,4793527,10725182,25124,61334,70850,high,3.5624,
WFC,Wells Fargo & Co,Yes,6,80.42,Financial Services,Banks - Diversified,253361542482,Mega,33508010,16700924,35266,74293,294542,ultra_liquid,1.4542,
WH,Wyndham Hotels & Resorts Inc,No,0,76.77,Consumer Cyclical,Travel Lodging,5981096493,Mid,781338,1593419,94,610,853,moderate,0.6076,
WHR,Whirlpool Corp,No,0,58.76,Consumer Cyclical,"Furnishings, Fixtures & Appliances",3944268156,Mid,727825,3123437,4155,14450,29409,moderate,0.2635,
WLK,Westlake Corp,Yes,1,103.19,Basic Materials,Specialty Chemicals,13534100267,Large,697957,1464633,129,400,1930,moderate,1.5516,
WM,Waste Management Inc,Yes,0,246.05,Industrials,Waste Management,99256902346,Large,1660920,2529761,1186,6530,14655,high,0.0608,
WMB,Williams Companies Inc,Yes,2,74.24,Energy,Oil & Gas Midstream,91336273809,Large,8371565,8020157,9683,55021,92380,high,-0.0597,
WMT,Walmart Inc,Yes,6,123.8,Consumer Defensive,Discount Stores,982801288330,Mega,9471212,25281641,119953,359703,410838,high,-0.1258,
WOLF,Wolfspeed Inc,Yes,2,16.57,Technology,Semiconductors,853979561,Small,0,1951964,1080,3599,16660,N/A,1.8704,
WRB,WR Berkley Corp,No,0,69.92,Financial Services,Insurance - Property & Casualty,26053328851,Large,782968,2318880,190,781,2929,moderate,-0.2476,
WSC,WillScot Holdings Corp,No,0,19.26,Industrials,Rental & Leasing Services,3629748570,Mid,371160,2016709,62,402,1398,moderate,1.888,
WULF,TeraWulf Inc,Yes,35,13.75,Financial Services,Financial - Capital Markets,6458557543,Mid,30257285,36218712,81178,149798,419536,ultra_liquid,4.3338,
WY,Weyerhaeuser Co,No,0,24.5,Real Estate,REIT - Specialty,17749978950,Large,3560634,6766609,1548,9833,27556,high,-0.0507,
WYNN,Wynn Resorts Ltd,Yes,2,101.61,Consumer Cyclical,"Gambling, Resorts & Casinos",10955790852,Large,2609962,1827802,3672,15727,38676,high,1.3318,
XEL,Xcel Energy Inc,No,0,82.52,Utilities,Utilities - Regulated Electric,48731046499,Large,2863885,4811307,326,1425,11914,high,-0.2396,
XLB,State Street Materials Select Sector SPDR ETF,Yes,0,49.86,N/A,N/A,0,,15403216,19763060,47423,291133,455783,ultra_liquid,0.8332,
XLE,State Street Energy Select Sector SPDR ETF,Yes,0,56.57,N/A,N/A,0,,48468753,61825039,200571,529587,1718023,ultra_liquid,0.1661,
XLF,State Street Financial Select Sector SPDR ETF,Yes,0,50.57,N/A,N/A,0,,48635404,58292718,164742,317131,1705415,ultra_liquid,0.9902,
XLI,State Street Industrial Select Sector SPDR ETF,Yes,0,169.94,N/A,N/A,0,,11168918,13881337,37670,155180,296353,ultra_liquid,1.0129,
XLK,State Street Technology Select Sector SPDR ETF,No,0,137.29,N/A,N/A,0,,17157569,21920248,12631,23383,168395,ultra_liquid,1.7714,Keep
XLP,State Street Consumer Staples Select Sector SPDR ETF,No,0,85.78,N/A,N/A,0,,19602644,23829240,113047,771667,1180866,ultra_liquid,-0.1282,Keep
XLRE,State Street Real Estate Select Sector SPDR ETF,No,0,42.89,N/A,N/A,0,,9146677,9645975,624,2203,10267,high,0.2596,Keep
XLU,State Street Utilities Select Sector SPDR ETF,No,0,46.74,N/A,N/A,0,,25235694,30951956,34288,189995,404809,ultra_liquid,0.0853,Keep
XLV,State Street Health Care Select Sector SPDR ETF,No,0,152.7,N/A,N/A,0,,12701418,14645930,8563,21100,101683,ultra_liquid,0.3548,Keep
XLY,State Street Consumer Discretionary Select Sector SPDR ETF,Yes,0,114.44,N/A,N/A,0,,10336484,11824790,4363,11999,103966,ultra_liquid,1.0118,
XOM,Exxon Mobil Corp,Yes,11,151.21,Energy,Oil & Gas Integrated,628181258174,Mega,28951816,22183607,139560,1523038,401519,ultra_liquid,0.0548,
XP,XP Inc,Yes,2,18.64,Financial Services,Financial - Capital Markets,10198152761,Large,2168272,7669857,1563,15767,48510,high,1.8863,
XPO,XPO Inc,Yes,1,188.65,Industrials,Trucking,24156956486,Large,1037876,2253531,1638,7886,8825,high,1.9315,
XRAY,Dentsply Sirona Inc,No,0,12.74,Healthcare,Medical Instruments & Supplies,2664656102,Mid,1250500,5343807,1190,4462,10779,high,1.7126,
XYZ,Block Inc,Yes,18,66.33,Technology,Software - Infrastructure,40367088480,Large,0,10579144,32272,158979,160028,N/A,2.2273,
YETI,YETI Holdings Inc,Yes,0,40.44,Consumer Cyclical,Leisure,3269496908,Mid,1863086,1405326,412,4858,4443,high,1.5581,
Z,"Zillow Group, Inc. - Class C Capital Stock",Yes,5,45.91,Communication Services,Internet Content & Information,11212768374,Large,4057331,5356288,4739,31496,22731,high,1.6144,
ZBH,Zimmer Biomet Holdings Inc,Yes,1,94.11,Healthcare,Medical Devices,18283679773,Large,1000241,2221523,580,5496,12311,high,0.2393,
ZION,Zions Bancorp NA,No,0,55.74,Financial Services,Banks - Regional,8499171002,Mid,1810418,2033651,1369,10071,11362,high,1.2066,
ZM,Zoom Communications Inc,Yes,1,77.5,Technology,Software - Application,22786590294,Large,3737824,5202042,11779,39303,96770,high,1.41,
ZS,Zscaler Inc,Yes,0,164.06,Technology,Software - Infrastructure,26041662257,Large,2424767,3243265,10216,40483,30737,high,1.513,
ZTS,Zoetis Inc,Yes,0,121.43,Healthcare,Drug Manufacturers - Specialty,51596669871,Large,2113877,4552972,2320,18479,23050,high,0.7382,
